Removed Pin From Net: NetName=NetLM2_U_Power_Control2_1 Pin=5MOhm-1
Removed Pin From Net: NetName=12V_W_U_Power_Control1 Pin=5MOhm-2
Removed Pin From Net: NetName=GND Pin=7MOhm-1
Removed Pin From Net: NetName=NetLM2_U_Power_Control2_1 Pin=7MOhm-2
Removed Pin From Net: NetName=12V_W_U_Power_Control1 Pin=10uF-2
Removed Pin From Net: NetName=OVCC_B117 Pin=DB RIGHT-30
Removed Pin From Net: NetName=OVCC_B118 Pin=DB RIGHT-31
Removed Pin From Net: NetName=OVCC_B119 Pin=DB RIGHT-32
Removed Pin From Net: NetName=OVCC_B120 Pin=DB RIGHT-33
Removed Pin From Net: NetName=OVCC_B121 Pin=DB RIGHT-34
Removed Pin From Net: NetName=OVCC_B122 Pin=DB RIGHT-35
Removed Pin From Net: NetName=OVCC_B123 Pin=DB RIGHT-36
Removed Pin From Net: NetName=OVCC_B124 Pin=DB RIGHT-37
Removed Pin From Net: NetName=OVCC_B125 Pin=DB RIGHT-38
Removed Pin From Net: NetName=OVCC_B126 Pin=DB RIGHT-39
Removed Pin From Net: NetName=OVCC_B127 Pin=DB RIGHT-40
Removed Pin From Net: NetName=OVCC_B0 Pin=DB TOP-1
Removed Pin From Net: NetName=OVCC_B1 Pin=DB TOP-2
Removed Pin From Net: NetName=OVCC_B2 Pin=DB TOP-3
Removed Pin From Net: NetName=OVCC_B3 Pin=DB TOP-4
Removed Pin From Net: NetName=OVCC_B4 Pin=DB TOP-5
Removed Pin From Net: NetName=OVCC_B5 Pin=DB TOP-6
Removed Pin From Net: NetName=OVCC_B6 Pin=DB TOP-7
Removed Pin From Net: NetName=OVCC_B7 Pin=DB TOP-8
Removed Pin From Net: NetName=OVCC_B8 Pin=DB TOP-9
Removed Pin From Net: NetName=OVCC_B9 Pin=DB TOP-10
Removed Pin From Net: NetName=OVCC_B10 Pin=DB TOP-11
Removed Pin From Net: NetName=OVCC_B11 Pin=DB TOP-12
Removed Pin From Net: NetName=OVCC_B12 Pin=DB TOP-13
Removed Pin From Net: NetName=OVCC_B13 Pin=DB TOP-14
Removed Pin From Net: NetName=OVCC_B14 Pin=DB TOP-15
Removed Pin From Net: NetName=OVCC_B15 Pin=DB TOP-16
Removed Pin From Net: NetName=FPGA_~CS1 Pin=DB TOP-17
Removed Pin From Net: NetName=FPGA_~OE Pin=DB TOP-18
Removed Pin From Net: NetName=FPGA_~WE1 Pin=DB TOP-19
Removed Pin From Net: NetName=GND Pin=DB TOP-20
Removed Pin From Net: NetName=GND Pin=DB TOP-21
Removed Pin From Net: NetName=EN Pin=DB TOP-22
Removed Pin From Net: NetName=COUNTER_CLR Pin=DB TOP-23
Removed Pin From Net: NetName=COUNTER_CLK0 Pin=DB TOP-24
Removed Pin From Net: NetName=OVCC_B16 Pin=DB TOP-25
Removed Pin From Net: NetName=OVCC_B17 Pin=DB TOP-26
Removed Pin From Net: NetName=OVCC_B18 Pin=DB TOP-27
Removed Pin From Net: NetName=OVCC_B19 Pin=DB TOP-28
Removed Pin From Net: NetName=OVCC_B20 Pin=DB TOP-29
Removed Pin From Net: NetName=OVCC_B21 Pin=DB TOP-30
Removed Pin From Net: NetName=OVCC_B22 Pin=DB TOP-31
Removed Pin From Net: NetName=OVCC_B23 Pin=DB TOP-32
Removed Pin From Net: NetName=OVCC_B24 Pin=DB TOP-33
Removed Pin From Net: NetName=OVCC_B25 Pin=DB TOP-34
Removed Pin From Net: NetName=OVCC_B26 Pin=DB TOP-35
Removed Pin From Net: NetName=OVCC_B27 Pin=DB TOP-36
Removed Pin From Net: NetName=OVCC_B28 Pin=DB TOP-37
Removed Pin From Net: NetName=OVCC_B29 Pin=DB TOP-38
Removed Pin From Net: NetName=OVCC_B30 Pin=DB TOP-39
Removed Pin From Net: NetName=OVCC_B31 Pin=DB TOP-40
Removed Pin From Net: NetName=IVL_B80 Pin=NS BOTTOM-1
Removed Pin From Net: NetName=IVL_B81 Pin=NS BOTTOM-2
Removed Pin From Net: NetName=IVL_B82 Pin=NS BOTTOM-3
Removed Pin From Net: NetName=IVL_B83 Pin=NS BOTTOM-4
Removed Pin From Net: NetName=IVL_B84 Pin=NS BOTTOM-5
Removed Pin From Net: NetName=IVL_B85 Pin=NS BOTTOM-6
Removed Pin From Net: NetName=IVL_B86 Pin=NS BOTTOM-7
Removed Pin From Net: NetName=IVL_B87 Pin=NS BOTTOM-8
Removed Pin From Net: NetName=IVL_B88 Pin=NS BOTTOM-9
Removed Pin From Net: NetName=IVL_B89 Pin=NS BOTTOM-10
Removed Pin From Net: NetName=IVL_B90 Pin=NS BOTTOM-11
Removed Pin From Net: NetName=IVL_B91 Pin=NS BOTTOM-12
Removed Pin From Net: NetName=IVL_B92 Pin=NS BOTTOM-13
Removed Pin From Net: NetName=IVL_B93 Pin=NS BOTTOM-14
Removed Pin From Net: NetName=IVL_B94 Pin=NS BOTTOM-15
Removed Pin From Net: NetName=IVL_B95 Pin=NS BOTTOM-16
Removed Pin From Net: NetName=GND Pin=NS BOTTOM-17
Removed Pin From Net: NetName=GND Pin=NS BOTTOM-18
Removed Pin From Net: NetName=GND Pin=NS BOTTOM-19
Removed Pin From Net: NetName=GND Pin=NS BOTTOM-20
Removed Pin From Net: NetName=GND Pin=NS BOTTOM-21
Removed Pin From Net: NetName=GND Pin=NS BOTTOM-22
Removed Pin From Net: NetName=GND Pin=NS BOTTOM-23
Removed Pin From Net: NetName=GND Pin=NS BOTTOM-24
Removed Pin From Net: NetName=IVL_B96 Pin=NS BOTTOM-25
Removed Pin From Net: NetName=IVL_B97 Pin=NS BOTTOM-26
Removed Pin From Net: NetName=IVL_B98 Pin=NS BOTTOM-27
Removed Pin From Net: NetName=IVL_B99 Pin=NS BOTTOM-28
Removed Pin From Net: NetName=IVL_B100 Pin=NS BOTTOM-29
Removed Pin From Net: NetName=IVL_B101 Pin=NS BOTTOM-30
Removed Pin From Net: NetName=IVL_B102 Pin=NS BOTTOM-31
Removed Pin From Net: NetName=IVL_B103 Pin=NS BOTTOM-32
Removed Pin From Net: NetName=IVL_B104 Pin=NS BOTTOM-33
Removed Pin From Net: NetName=IVL_B105 Pin=NS BOTTOM-34
Removed Pin From Net: NetName=IVL_B106 Pin=NS BOTTOM-35
Removed Pin From Net: NetName=IVL_B107 Pin=NS BOTTOM-36
Removed Pin From Net: NetName=IVL_B108 Pin=NS BOTTOM-37
Removed Pin From Net: NetName=IVL_B109 Pin=NS BOTTOM-38
Removed Pin From Net: NetName=IVL_B110 Pin=NS BOTTOM-39
Removed Pin From Net: NetName=IVL_B111 Pin=NS BOTTOM-40
Removed Pin From Net: NetName=IVL_B40 Pin=NS LEFT-1
Removed Pin From Net: NetName=IVL_B41 Pin=NS LEFT-2
Removed Pin From Net: NetName=IVL_B42 Pin=NS LEFT-3
Removed Pin From Net: NetName=IVL_B43 Pin=NS LEFT-4
Removed Pin From Net: NetName=IVL_B44 Pin=NS LEFT-5
Removed Pin From Net: NetName=IVL_B45 Pin=NS LEFT-6
Removed Pin From Net: NetName=IVL_B46 Pin=NS LEFT-7
Removed Pin From Net: NetName=IVL_B47 Pin=NS LEFT-8
Removed Pin From Net: NetName=IVL_B48 Pin=NS LEFT-9
Removed Pin From Net: NetName=IVL_B49 Pin=NS LEFT-10
Removed Pin From Net: NetName=IVL_B50 Pin=NS LEFT-11
Removed Pin From Net: NetName=IVL_B51 Pin=NS LEFT-12
Removed Pin From Net: NetName=IVL_B52 Pin=NS LEFT-13
Removed Pin From Net: NetName=IVL_B53 Pin=NS LEFT-14
Removed Pin From Net: NetName=IVL_B54 Pin=NS LEFT-15
Removed Pin From Net: NetName=IVL_B55 Pin=NS LEFT-16
Removed Pin From Net: NetName=IVL_B56 Pin=NS LEFT-17
Removed Pin From Net: NetName=IVL_B57 Pin=NS LEFT-18
Removed Pin From Net: NetName=IVL_B58 Pin=NS LEFT-19
Removed Pin From Net: NetName=IVL_B59 Pin=NS LEFT-20
Removed Pin From Net: NetName=IVL_B60 Pin=NS LEFT-21
Removed Pin From Net: NetName=IVL_B61 Pin=NS LEFT-22
Removed Pin From Net: NetName=IVL_B62 Pin=NS LEFT-23
Removed Pin From Net: NetName=IVL_B63 Pin=NS LEFT-24
Removed Pin From Net: NetName=IVL_B64 Pin=NS LEFT-25
Removed Pin From Net: NetName=IVL_B65 Pin=NS LEFT-26
Removed Pin From Net: NetName=IVL_B66 Pin=NS LEFT-27
Removed Pin From Net: NetName=IVL_B67 Pin=NS LEFT-28
Removed Pin From Net: NetName=IVL_B68 Pin=NS LEFT-29
Removed Pin From Net: NetName=IVL_B69 Pin=NS LEFT-30
Removed Pin From Net: NetName=IVL_B70 Pin=NS LEFT-31
Removed Pin From Net: NetName=IVL_B71 Pin=NS LEFT-32
Removed Pin From Net: NetName=IVL_B72 Pin=NS LEFT-33
Removed Pin From Net: NetName=IVL_B73 Pin=NS LEFT-34
Removed Pin From Net: NetName=IVL_B74 Pin=NS LEFT-35
Removed Pin From Net: NetName=IVL_B75 Pin=NS LEFT-36
Removed Pin From Net: NetName=IVL_B76 Pin=NS LEFT-37
Removed Pin From Net: NetName=IVL_B77 Pin=NS LEFT-38
Removed Pin From Net: NetName=IVL_B78 Pin=NS LEFT-39
Removed Pin From Net: NetName=IVL_B79 Pin=NS LEFT-40
Removed Pin From Net: NetName=IVL_B112 Pin=NS RIGHT-1
Removed Pin From Net: NetName=IVL_B113 Pin=NS RIGHT-2
Removed Pin From Net: NetName=IVL_B114 Pin=NS RIGHT-3
Removed Pin From Net: NetName=IVL_B115 Pin=NS RIGHT-4
Removed Pin From Net: NetName=IVL_B116 Pin=NS RIGHT-5
Removed Pin From Net: NetName=IVL_B117 Pin=NS RIGHT-6
Removed Pin From Net: NetName=IVL_B118 Pin=NS RIGHT-7
Removed Pin From Net: NetName=IVL_B119 Pin=NS RIGHT-8
Removed Pin From Net: NetName=IVL_B120 Pin=NS RIGHT-9
Removed Pin From Net: NetName=IVL_B121 Pin=NS RIGHT-10
Removed Pin From Net: NetName=GND Pin=NS RIGHT-11
Removed Pin From Net: NetName=IVL_B122 Pin=NS RIGHT-12
Removed Pin From Net: NetName=IVL_B123 Pin=NS RIGHT-13
Removed Pin From Net: NetName=IVL_B124 Pin=NS RIGHT-14
Removed Pin From Net: NetName=IVL_B125 Pin=NS RIGHT-15
Removed Pin From Net: NetName=FPGA_RX Pin=NS RIGHT-16
Removed Pin From Net: NetName=FPGA_TX Pin=NS RIGHT-17
Removed Pin From Net: NetName=FPGA_Q Pin=NS RIGHT-18
Removed Pin From Net: NetName=OTHER_W21 Pin=NS RIGHT-19
Removed Pin From Net: NetName=OTHER_W20 Pin=NS RIGHT-20
Removed Pin From Net: NetName=COUNTER_CLK3 Pin=NS RIGHT-21
Removed Pin From Net: NetName=COUNTER_CLK2 Pin=NS RIGHT-22
Removed Pin From Net: NetName=FPGA_~WE3 Pin=NS RIGHT-23
Removed Pin From Net: NetName=FPGA_~CS3 Pin=NS RIGHT-24
Removed Pin From Net: NetName=COUNTER_CLK1 Pin=NS RIGHT-25
Removed Pin From Net: NetName=FPGA_~WE2 Pin=NS RIGHT-26
Removed Pin From Net: NetName=FPGA_~CS2 Pin=NS RIGHT-27
Removed Pin From Net: NetName=FPGA_STCP Pin=NS RIGHT-28
Removed Pin From Net: NetName=FPGA_SHCP Pin=NS RIGHT-29
Removed Pin From Net: NetName=GND Pin=NS RIGHT-30
Removed Pin From Net: NetName=FPGA_~PL Pin=NS RIGHT-31
Removed Pin From Net: NetName=FPGA_~MR Pin=NS RIGHT-32
Removed Pin From Net: NetName=FPGA_~WE4 Pin=NS RIGHT-33
Removed Pin From Net: NetName=FPGA_~CS4 Pin=NS RIGHT-34
Removed Pin From Net: NetName=COUNTER_CLK0 Pin=NS RIGHT-35
Removed Pin From Net: NetName=COUNTER_CLR Pin=NS RIGHT-36
Removed Pin From Net: NetName=EN Pin=NS RIGHT-37
Removed Pin From Net: NetName=FPGA_~WE1 Pin=NS RIGHT-38
Removed Pin From Net: NetName=FPGA_~OE Pin=NS RIGHT-39
Removed Pin From Net: NetName=FPGA_~CS1 Pin=NS RIGHT-40
Removed Pin From Net: NetName=IVL_B0 Pin=NS TOP-1
Removed Pin From Net: NetName=IVL_B1 Pin=NS TOP-2
Removed Pin From Net: NetName=IVL_B2 Pin=NS TOP-3
Removed Pin From Net: NetName=IVL_B3 Pin=NS TOP-4
Removed Pin From Net: NetName=IVL_B4 Pin=NS TOP-5
Removed Pin From Net: NetName=IVL_B5 Pin=NS TOP-6
Removed Pin From Net: NetName=IVL_B6 Pin=NS TOP-7
Removed Pin From Net: NetName=IVL_B7 Pin=NS TOP-8
Removed Pin From Net: NetName=IVL_B8 Pin=NS TOP-9
Removed Pin From Net: NetName=IVL_B9 Pin=NS TOP-10
Removed Pin From Net: NetName=IVL_B10 Pin=NS TOP-11
Removed Pin From Net: NetName=IVL_B11 Pin=NS TOP-12
Removed Pin From Net: NetName=IVL_B12 Pin=NS TOP-13
Removed Pin From Net: NetName=IVL_B13 Pin=NS TOP-14
Removed Pin From Net: NetName=IVL_B14 Pin=NS TOP-15
Removed Pin From Net: NetName=IVL_B15 Pin=NS TOP-16
Removed Pin From Net: NetName=IVL_B16 Pin=NS TOP-17
Removed Pin From Net: NetName=IVL_B17 Pin=NS TOP-18
Removed Pin From Net: NetName=IVL_B18 Pin=NS TOP-19
Removed Pin From Net: NetName=IVL_B19 Pin=NS TOP-20
Removed Pin From Net: NetName=IVL_B20 Pin=NS TOP-21
Removed Pin From Net: NetName=IVL_B21 Pin=NS TOP-22
Removed Pin From Net: NetName=IVL_B22 Pin=NS TOP-23
Removed Pin From Net: NetName=IVL_B23 Pin=NS TOP-24
Removed Pin From Net: NetName=IVL_B24 Pin=NS TOP-25
Removed Pin From Net: NetName=IVL_B25 Pin=NS TOP-26
Removed Pin From Net: NetName=IVL_B26 Pin=NS TOP-27
Removed Pin From Net: NetName=IVL_B27 Pin=NS TOP-28
Removed Pin From Net: NetName=IVL_B28 Pin=NS TOP-29
Removed Pin From Net: NetName=IVL_B29 Pin=NS TOP-30
Removed Pin From Net: NetName=IVL_B30 Pin=NS TOP-31
Removed Pin From Net: NetName=IVL_B31 Pin=NS TOP-32
Removed Pin From Net: NetName=IVL_B32 Pin=NS TOP-33
Removed Pin From Net: NetName=IVL_B33 Pin=NS TOP-34
Removed Pin From Net: NetName=IVL_B34 Pin=NS TOP-35
Removed Pin From Net: NetName=IVL_B35 Pin=NS TOP-36
Removed Pin From Net: NetName=IVL_B36 Pin=NS TOP-37
Removed Pin From Net: NetName=IVL_B37 Pin=NS TOP-38
Removed Pin From Net: NetName=IVL_B38 Pin=NS TOP-39
Removed Pin From Net: NetName=IVL_B39 Pin=NS TOP-40
Removed Member From Class: ClassName=U_Power_Control1 Member=1MOhm
Removed Member From Class: ClassName=U_Power_Control1 Member=1uF
Removed Member From Class: ClassName=U_Power_Control1 Member=3MOhm
Removed Member From Class: ClassName=U_Power_Control1 Member=250 Ohm
Removed Member From Class: ClassName=U_Power_Control1 Member=AD5293
Removed Member From Class: ClassName=U_Power_Control1 Member=D1N4001
Removed Member From Class: ClassName=U_Power_Control1 Member=LM321
Change Component Comment : Designator= Old Comment= New Comment=0.1uF_0603
Change Component Designator: OldDesignator= NewDesignator=0.1uF_0_U_VT_WRP1
Change Component Designator: OldDesignator= NewDesignator=0.1uF_0_U_VT_WRP2
Change Component Designator: OldDesignator= NewDesignator=0.1uF_0_U_VT_WRP3
Change Component Designator: OldDesignator= NewDesignator=0.1uF_0_U_VT_WRP4
Change Component Designator: OldDesignator= NewDesignator=0.1uF_0_U_VT_WRP5
Change Component Designator: OldDesignator= NewDesignator=0.1uF_0_U_VT_WRP6
Change Component Designator: OldDesignator= NewDesignator=0.1uF_0_U_VT_WRP7
Change Component Designator: OldDesignator= NewDesignator=0.1uF_0_U_VT_WRP8
Change Component Designator: OldDesignator= NewDesignator=0.1uF_1_U_VT_WRP1
Change Component Designator: OldDesignator= NewDesignator=0.1uF_1_U_VT_WRP2
Change Component Designator: OldDesignator= NewDesignator=0.1uF_1_U_VT_WRP3
Change Component Designator: OldDesignator= NewDesignator=0.1uF_1_U_VT_WRP4
Change Component Designator: OldDesignator= NewDesignator=0.1uF_1_U_VT_WRP5
Change Component Designator: OldDesignator= NewDesignator=0.1uF_1_U_VT_WRP6
Change Component Designator: OldDesignator= NewDesignator=0.1uF_1_U_VT_WRP7
Change Component Designator: OldDesignator= NewDesignator=0.1uF_1_U_VT_WRP8
Change Component Designator: OldDesignator= NewDesignator=0.1uF_3_U_VT_WRP1
Change Component Designator: OldDesignator= NewDesignator=0.1uF_3_U_VT_WRP2
Change Component Designator: OldDesignator= NewDesignator=0.1uF_3_U_VT_WRP3
Change Component Designator: OldDesignator= NewDesignator=0.1uF_3_U_VT_WRP4
Change Component Designator: OldDesignator= NewDesignator=0.1uF_3_U_VT_WRP5
Change Component Designator: OldDesignator= NewDesignator=0.1uF_3_U_VT_WRP6
Change Component Designator: OldDesignator= NewDesignator=0.1uF_3_U_VT_WRP7
Change Component Designator: OldDesignator= NewDesignator=0.1uF_3_U_VT_WRP8
Change Component Designator: OldDesignator= NewDesignator=0.1uF_4_U_VT_WRP1
Change Component Designator: OldDesignator= NewDesignator=0.1uF_4_U_VT_WRP2
Change Component Designator: OldDesignator= NewDesignator=0.1uF_4_U_VT_WRP3
Change Component Designator: OldDesignator= NewDesignator=0.1uF_4_U_VT_WRP4
Change Component Designator: OldDesignator= NewDesignator=0.1uF_4_U_VT_WRP5
Change Component Designator: OldDesignator= NewDesignator=0.1uF_4_U_VT_WRP6
Change Component Designator: OldDesignator= NewDesignator=0.1uF_4_U_VT_WRP7
Change Component Designator: OldDesignator= NewDesignator=0.1uF_4_U_VT_WRP8
Change Component Designator: OldDesignator= NewDesignator=BBB_DOWN
Change Component Designator: OldDesignator=1MOhm NewDesignator=1MOhm_U_Power_Control1
Change Component Designator: OldDesignator=1MOhm NewDesignator=1MOhm_U_Power_Control2
Change Component Designator: OldDesignator=1uF NewDesignator=1uF_1_U_Power_Control1
Change Component Designator: OldDesignator=1uF NewDesignator=1uF_1_U_Power_Control2
Change Component Designator: OldDesignator=1uF NewDesignator=1uF_2_U_Power_Control1
Change Component Designator: OldDesignator=1uF NewDesignator=1uF_2_U_Power_Control2
Change Component Designator: OldDesignator=1uF NewDesignator=1uF_3_U_Power_Control1
Change Component Designator: OldDesignator=1uF NewDesignator=1uF_3_U_Power_Control2
Change Component Designator: OldDesignator=1uF NewDesignator=1uF_4_U_Power_Control1
Change Component Designator: OldDesignator=1uF NewDesignator=1uF_4_U_Power_Control2
Change Component Designator: OldDesignator=1uF NewDesignator=10uF_1_U_Power_Control1
Change Component Designator: OldDesignator=1uF NewDesignator=10uF_2_U_Power_Control2
Change Component Designator: OldDesignator=3MOhm NewDesignator=3MOhm_U_Power_Control1
Change Component Designator: OldDesignator=3MOhm NewDesignator=3MOhm_U_Power_Control2
Change Component Designator: OldDesignator=5V NewDesignator=-5V
Change Component Designator: OldDesignator=10kOhm NewDesignator=R1
Change Component Designator: OldDesignator=10uF NewDesignator=1uF_5_U_Power_Control1
Change Component Designator: OldDesignator=10uF NewDesignator=1uF_5_U_Power_Control2
Change Component Designator: OldDesignator=10uF NewDesignator=10uF_1_U_Power_Control2
Change Component Designator: OldDesignator=10uF NewDesignator=10uF_2_U_Power_Control1
Change Component Designator: OldDesignator=250 Ohm NewDesignator=10kOhm_1_U_Power_Control1
Change Component Designator: OldDesignator=250 Ohm NewDesignator=10kOhm_1_U_Power_Control2
Change Component Designator: OldDesignator=AD5293 NewDesignator=POT_U_Power_Control1
